restaurant_name,city,address,latitude,longitude,cuisines,price_level,avg_rating,total_reviews_count,keywords,special_diets,features,atmosphere,keywords_clean,dominant_topic,target,target_pred,probability
L'Ambroisie,Paris,"9 Place des Vosges, 75004 Paris France",48.855362,2.364534,"French, European",€€€€,4.0,527.0,caviar lobster place des vosges french gastronomy star restaurant,,"Reservations, Private Dining, Seating, Valet Parking, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,caviar lobster place des vosges french gastronomy star restaurant,4,1,1,1.7268249040354426
Istr,Paris,"41 rue Notre Dame de Nazareth, 75003 Paris France",48.86756,2.357617,"French, Seafood, European, Contemporary",€€-€€€,4.5,171.0,oysters lobster roll bread oyster bar trendy restaurant,Vegetarian Friendly,,,oysters lobster roll bread oyster bar trendy restaurant,1,1,1,1.2073535525413246
La Table de Catusseau,Pomerol,"86 rue de Catusseau, 33500 Pomerol France",44.92354,-0.206324,"French, European",€€€€,4.5,391.0,monkfish bib gourmand saint emilion la carte menu small village,Vegetarian Friendly,,,monkfish bib gourmand saint emilion la carte menu small village,4,1,1,0.8488281415880617
Le Quai,Amiens,"13-15 Quai Belu, 80000, Amiens France",49.896317,2.304426,"Seafood, European, French, Healthy",€€-€€€,4.0,2200.0,steamed fish two course meal burger river busy restaurant,"Vegetarian Friendly, Vegan Options",,4.0,steamed fish two course meal burger river busy restaurant,3,1,0,-0.23283139671200603
Le Tire-bouchon,Strasbourg,"5 rue des Tailleurs de Pierre Proche du Palais Rohan et ses Musées, 67000, Strasbourg France",48.580624,7.750783,"French, European",€€-€€€,4.0,3344.0,choucroute sauerkraut traditional setting large portions old house,,"Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",3.5,choucroute sauerkraut traditional setting large portions old house,2,1,0,-0.025524711763099783
Les belles pintes,Les Arcs,"Residence le refuge du montagnard, Les Arcs, Bourg Saint Maurice France",45.572094,6.827944,Pub,€€-€€€,4.5,254.0,great pub apres ski every night amazing atmosphere beers,,"Outdoor Seating, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",4.5,great pub apres ski every night amazing atmosphere beers,1,1,1,1.747822153550624
Restaurant La Maison d'à Côté,Montlivault,"17 rue de Chambord, 41350 Montlivault, Blois France",47.64098,1.445197,"French, Healthy",€€€€,5.0,1084.0,tasting menu chicken caviar chef christophe his team,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.5,tasting menu chicken caviar chef christophe his team,4,1,1,1.684930288260958
Union,Montalbert,"Immeuble Le Signal, Rez de Chaussée Vieux Village de Montalbert, 73210 Montalbert France",45.534485,6.635101,"European, British, Contemporary, French",€€€€,5.0,75.0,hummus tasting menu tarte tatin truffle salmon,"Vegetarian Friendly, Vegan Options",,,hummus tasting menu tarte tatin truffle salmon,5,1,1,1.9868177748388973
Cap 21 Les Murenes,Ramatuelle,"Plage de Pampelonne Bd Patch, Ramatuelle, Saint-Tropez France",43.226574,6.662146,"French, Mediterranean, European",€€-€€€,4.5,425.0,mussels seafood st tropez beach restaurant excellent food,"Vegetarian Friendly, Vegan Options",,4.5,mussels seafood st tropez beach restaurant excellent food,0,1,1,0.12049575568179427
Charbonnel,Brantome en Perigord City,"57 rue Gambetta, 24310, Brantome en Perigord France",45.365234,0.649972,"French, European",€€€€,4.5,702.0,amuse bouche ris de veau duck breast truffle main course,Vegetarian Friendly,,4.0,amuse bouche ris de veau duck breast truffle main course,4,1,1,1.0472141119234342
La Lune,Beaune,"32 rue Maufoux, 21200, Beaune France",47.02261,4.834417,"French, Japanese, Asian, Healthy",€€-€€€,5.0,579.0,scallops deep fried chicken fries asian food traditional burgundian,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,scallops deep fried chicken fries asian food traditional burgundian,3,1,1,0.9129817666076245
Restaurant Christophe Bacquie,Le Castellet,"3001 route des Hauts du Camp, 83330 Le Castellet France",43.249977,5.783203,"French, Mediterranean, European",€€€€,4.5,315.0,glass paul ricard michelin stars pigeon,Vegetarian Friendly,,,glass paul ricard michelin stars pigeon,4,1,1,0.5797186812399118
Firmin le Barbier,Paris,"20 rue de Monttessuy A 100 meter from Eiffel Tower, 75007 Paris France",48.859444,2.298655,"French, Healthy, Diner",€€-€€€,4.5,492.0,steak creme brulee salad eiffel tower entire evening,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.5,steak creme brulee salad eiffel tower entire evening,3,1,1,0.10744464181749191
La Chevre d'Or,Eze,"Rue du Barri, 06360 Èze France",43.727257,7.36178,"French, Mediterranean",€€€€,4.5,1178.0,mediterranean sea stunning views once lifetime terrace eze,"Vegetarian Friendly, Gluten Free Options","Parking Available, Valet Parking, Serves Alcohol, Full Bar, Free Wifi, Reservations, Outdoor Seating, Private Dining, Seating, Validated Parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",4.5,mediterranean sea stunning views once lifetime terrace eze,0,1,1,0.04906663950918855
Brasserie le Village,Roissy-en-France,"47 avenue Charles de Gaulle, 95700 Roissy-en-France France",49.002766,2.51699,"French, Bar, European",€€-€€€,4.0,394.0,french onion soup scallops great restaurant village roissy,Vegetarian Friendly,,3.5,french onion soup scallops great restaurant village roissy,5,1,1,1.0625588900433416
Au Coin du Feu,Macot-la-Plagne,"La Plagne Soleil, 73210 Macot-la-Plagne, Aime France",45.508114,6.686254,"French, European, Grill",€€-€€€,4.5,420.0,duck steak raclette potatoes wood fire,Vegetarian Friendly,,4.5,duck steak raclette potatoes wood fire,5,1,0,-0.1793843392254647
Les Fondus De La Raclette Parmentier,Paris,"107 avenue Parmentier, 75011 Paris France",48.867462,2.372896,"Barbecue, French, European",€€-€€€,4.0,513.0,raclette cheese fondue potatoes salad bread,Vegetarian Friendly,,4.0,raclette cheese fondue potatoes salad bread,5,1,1,0.017501820818199065
Karishma Lounge,Divonne-les-Bains,"76 Grande rue, 01220 Divonne-les-Bains France",46.355476,6.14005,Indian,€€-€€€,3.5,437.0,butter chicken masala indian restaurant great indian value money,"Vegetarian Friendly, Vegan Options",,3.5,butter chicken masala indian restaurant great indian value money,3,0,1,1.6091336503281406
Les Cuisines du Chateau,Gordes,"Place Genty Pantaly, 84220, Gordes France",43.91084,5.199954,French,€€-€€€,4.0,320.0,duck nice little restaurant daily menu spoke english ate here,"Vegetarian Friendly, Gluten Free Options",,4.0,duck nice little restaurant daily menu spoke english ate here,1,1,1,0.16051501640498267
La Bergerie de Planpraz,Chamonix,"Telecabine de Planpraz, 74400, Chamonix France",45.936245,6.853733,"French, European",€€-€€€,4.0,335.0,lunch mountain restaurant mont blanc our waiter ski resort,"Vegetarian Friendly, Vegan Options",,4.0,lunch mountain restaurant mont blanc our waiter ski resort,2,1,1,0.8989205574966437
Phillipe Excoffier,Paris,"18 rue de l'exposition  Paris 75007, 75007 Paris France",48.85759,2.303,"French, European",€€€€,4.5,448.0,souffle wonderful meal beautiful presentation chef caramel,Vegetarian Friendly,,4.0,souffle wonderful meal beautiful presentation chef caramel,1,1,1,2.4375235949125975
Le Bordeaux,Lucon,"14 Place des Acacias, 85400 Lucon France",46.45493,-1.166036,"French, Bar, European",€€-€€€,3.5,134.0,pizza salad value money friendly service dough,,,4.0,pizza salad value money friendly service dough,3,0,1,0.4866851305178368
Au Chien Qui Fume,Paris,"33 rue du Pont Neuf, 75001 Paris France",48.861336,2.344947,"French, European",€€-€€€,4.0,314.0,oysters salad snails burger croissants,Vegetarian Friendly,,,oysters salad snails burger croissants,5,1,0,-0.37501885015857794
Restaurant L'Incandescent Rôtissier,Annecy,"4 Faubourg Sainte Claire, 74000, Annecy France",45.89782,6.123382,"French, European, Healthy",€€-€€€,4.5,708.0,gnocchi amazing food booked table dessert dishes,,"Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,gnocchi amazing food booked table dessert dishes,1,1,1,0.2435189776832632
Cafe de Turin,Nice,"5 Place Garibaldi, 06300 Nice France",43.700745,7.279576,"Mediterranean, French, Seafood, European, Gastropub",€€-€€€,4.0,4074.0,oysters shellfish fresh seafood sea snails crustaceans,,"Wheelchair Accessible, Free Wifi, Takeout, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service",3.5,oysters shellfish fresh seafood sea snails crustaceans,5,1,1,1.0898835187698834
Esttia,Paris,"11 rue de la Grande Chaumiere, 75006 Paris France",48.84226,2.330711,"French, Contemporary, European",€€-€€€,4.5,207.0,mousse veal burrata small restaurant friendly service,"Vegetarian Friendly, Vegan Options",,,mousse veal burrata small restaurant friendly service,0,1,1,2.690506069501919
La tantina de la Playa,Bidart,"Plage du centre, 64210 Bidart France",43.436474,-1.596342,"French, Seafood, European, Spanish, Healthy",€€-€€€,4.5,1330.0,fish restaurant overlooking beach great restaurant view sea,,"Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service, Waterfront",4.0,fish restaurant overlooking beach great restaurant view sea,2,1,1,0.21788189059381052
Xin Gainian,Paris,"55 rue Dauphine, 75006 Paris France",48.854,2.338797,"Chinese, Asian, Vietnamese",€€-€€€,4.5,269.0,noodles soups duck asian fusion restaurant nems,"Vegetarian Friendly, Vegan Options",,4.0,noodles soups duck asian fusion restaurant nems,2,1,1,0.23995852267753187
A La Terrade,Aubusson,"Rue Alfred Assolant Pont de la Terrade, 23200 Aubusson France",45.957233,2.167024,"French, European, Gastropub",€€-€€€,4.0,225.0,lunch river advance high standard food excellent,Vegetarian Friendly,,,lunch river advance high standard food excellent,1,1,1,0.536873216734542
La Cantine,Tignes,"route du Lavachet Centre Commercial Le Lavachet, 73320 Tignes France",45.47141,6.914497,"Cafe, Grill",€,5.0,108.0,toasties toasted sandwich cake goats cheese walnut great little place,"Vegetarian Friendly, Vegan Options",,,toasties toasted sandwich cake goats cheese walnut great little place,3,1,1,1.4998314639806047
Le Twickenham,Paris,"68 boulevard Saint Germain, 75005 Paris France",48.85042,2.347419,"French, European",€€-€€€,3.5,363.0,oysters duck salad steak moules,Vegetarian Friendly,,3.0,oysters duck salad steak moules,5,0,0,-0.19737920242464457
Le Quatrieme Mur,Bordeaux,"2, Place de la Comédie, 33000, Bordeaux France",44.842815,-0.574242,"French, Healthy",€€€€,4.0,5237.0,mushroom ravioli chicken opera house fourth wall grand theatre,,"Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",,mushroom ravioli chicken opera house fourth wall grand theatre,0,1,1,0.41812929797252485
Chuck Wagon Cafe,Marne-la-Vallee,"Disney's Hotel Cheyenne Disneyland Paris, 77700, Marne-la-Vallee France",48.874374,2.791897,Barbecue,€€-€€€,3.5,467.0,pizza chicken ribs cold meats vegetable soup ice cream,Vegetarian Friendly,,3.5,pizza chicken ribs cold meats vegetable soup ice cream,0,0,1,0.9491830477753815
Garam Masala,Toulouse,"10 rue Maletache, 31000, Toulouse France",43.598503,1.444663,"Indian, Asian, Healthy",€€-€€€,4.5,697.0,naan kulfi rice thali lamb,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,naan kulfi rice thali lamb,3,1,1,0.292288620299338
Le Saint Augustin,Paris,"114 boulevard Haussmann, 75008 Paris France",48.874702,2.320496,"French, Bar, European",€€-€€€,3.0,341.0,pasta dishes snails croissants boulevard haussmann average brasserie,Vegetarian Friendly,,3.5,pasta dishes snails croissants boulevard haussmann average brasserie,5,0,1,0.0895664806115356
Restaurant Creperie Sel Et Sucre,Aubeterre-sur-Dronne,"Place Trarieux Aubeterre Sur Dronne, 16390 Aubeterre-sur-Dronne France",45.271446,0.170128,"French, European",€€-€€€,4.0,128.0,quiche galettes salad kids adults people watching,Vegetarian Friendly,,,quiche galettes salad kids adults people watching,0,1,0,-1.7345662470357412
La Voute,Saint-Martin-de-Belleville,"Chef Lieu, 73440, Les Belleville France",45.379906,6.504547,"French, European",€€-€€€,4.0,188.0,pasta snails raclette st martin old village,,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, Full Bar",4.0,pasta snails raclette st martin old village,3,1,0,-0.6825934672111914
Le Comptoir des Marronniers,Lyon,"8 rue des Marronniers, 69002 Lyon France",45.756954,4.834692,"French, European",€€-€€€,4.0,760.0,salad cochon quenelle set menu course menu,,"Outdoor Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",3.5,salad cochon quenelle set menu course menu,4,1,1,0.5218014100509444
Le Saint Cochon,Beaumontois-en-Perigord,"Lieu Dit au Marchay, 24440, Beaumontois-en-Perigord France",44.731716,0.744047,"French, Belgian, European",€€-€€€,5.0,212.0,fillet steak meat fish sunday lunch excellent meal excellent value money,,,,fillet steak meat fish sunday lunch excellent meal excellent value money,1,1,0,-0.21723584706754007
La Prevote,L'Isle-sur-la-Sorgue,"4 rue Jean Jacques Rousseau Derrière L'église, 84800, L'Isle-sur-la-Sorgue France",43.920063,5.052114,French,€€€€,4.5,649.0,duck bread lovely restaurant amuse bouche main course,"Vegetarian Friendly, Gluten Free Options",,4.5,duck bread lovely restaurant amuse bouche main course,4,1,1,1.9159033871310647
Le Pavé des Lombards,Paris,"7 rue des Lombards, 75004 Paris France",48.859055,2.349824,"French, European",€€-€€€,4.0,596.0,aligot tarte tatin duck fries saint jacques,Vegetarian Friendly,,4.0,aligot tarte tatin duck fries saint jacques,5,1,1,0.4725669394732189
L'Edito,Dijon,"2 Place Darcy, 21000, Dijon France",47.323303,5.034929,"French, Bar, European",€€-€€€,3.5,2257.0,burger moules salmon our waiter south france,"Vegetarian Friendly, Vegan Options",,3.5,burger moules salmon our waiter south france,3,0,1,0.34067652027001716
Crêperie Ty-Ru,Quimper,"11 rue du Salle Place au beurre, 29000, Quimper France",48.00122,-4.102937,French,€€-€€€,4.0,310.0,ham complet egg square cheese,"Vegetarian Friendly, Gluten Free Options",,4.5,ham complet egg square cheese,5,1,0,-0.3606976428058041
Le Brun,Paris,"95 rue Saint Honore, 75001 Paris France",48.861305,2.343216,"French, Healthy, European",€€-€€€,4.5,416.0,suckling pig octopus carpaccio pistachio cream sweet potato soup cochon,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,suckling pig octopus carpaccio pistachio cream sweet potato soup cochon,5,1,1,1.2215396742433962
MONBLEU Faubourg Montmartre,Paris,"37 rue du Faubourg Montmartre, 75009 Paris France",48.874195,2.34213,"French, European",€€-€€€,4.5,252.0,brunch cheese board cheeseburger bread potatoes,Vegetarian Friendly,,,brunch cheese board cheeseburger bread potatoes,5,1,1,0.7439341392083694
Le Montcabrien,Montchevrier,"le Bourg, 36140 Montchevrier France",46.480984,1.74203,"French, Gastropub, European, Pub",€€-€€€,4.5,81.0,risotto won t off beaten track vegetarian cheese,,,,risotto won t off beaten track vegetarian cheese,5,1,1,0.9984032006291435
Brasserie Lorraine,Paris,"2 Place des Ternes, 75008 Paris France",48.878117,2.298532,"French, Seafood, European, Gastropub",€€€€,3.5,1375.0,seafood clams choucroute fruits de mer escargot,,"Outdoor Seating, Seating, Valet Parking, Serves Alcohol, Reservations, Private Dining, Highchairs Available, Wheelchair Accessible, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",3.5,seafood clams choucroute fruits de mer escargot,5,0,0,-0.39089648452280923
Hercule Poireau,Perigueux,"2 rue de la Nation, 24000, Perigueux France",45.184185,0.723042,"French, European",€€€€,4.5,542.0,poached pear amuse bouche foam dessert menus,,"Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,poached pear amuse bouche foam dessert menus,1,1,1,0.7959413033089657
Restaurant du Musee d'Orsay,Paris,"1 rue de la Legion D Honneur, 75007 Paris France",48.86025,2.325303,French,€€-€€€,4.0,1402.0,lunch salmon soup beautiful restaurant stunning room,Vegetarian Friendly,,4.5,lunch salmon soup beautiful restaurant stunning room,0,1,1,0.8191737863867627
Le Bon Pecheur,Paris,"9 rue des Precheurs 14 Rue Pierre Lescot, 75001 Paris France",48.862106,2.348346,"French, Bar, European",€€-€€€,4.5,344.0,fish chips onion soup snails burger decided give try,"Vegetarian Friendly, Vegan Options",,3.5,fish chips onion soup snails burger decided give try,5,1,0,-0.1136864110545951
Lobsta,Nice,"2 rue Halevy, 06000 Nice France",43.695583,7.265408,"American, Bar, Fast food, Mediterranean, Seafood",€€-€€€,4.5,296.0,lobster roll grilled cheese lobstah potatoes truffle,Vegetarian Friendly,"Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Delivery, Wine and Beer, Free Wifi",,lobster roll grilled cheese lobstah potatoes truffle,5,1,1,1.0043750929670627
L'Ô à la Bouche,Cahors,"56 allee Francois de Fenelon, 46000, Cahors France",44.44508,1.440539,"French, European, Healthy",€€€€,4.5,815.0,macaroons salad special occasion great restaurant wine glass,Vegetarian Friendly,,4.0,macaroons salad special occasion great restaurant wine glass,2,1,1,0.1679327385831587
Gurtlerhoft,Strasbourg,"13 Place de la Cathedrale, 67000, Strasbourg France",48.581768,7.749418,"French, German, European",€€-€€€,4.0,1830.0,torte foie gras underground cellar cave cathedral,,,4.0,torte foie gras underground cellar cave cathedral,0,1,1,0.09132365201229797
Le Rejallant,Condac,"Aire de Detente Rejallant, 16700 Condac France",46.014725,0.216038,"French, European",€€€€,4.0,205.0,steak spoke english lovely setting visited friends excellent food,Vegetarian Friendly,,4.0,steak spoke english lovely setting visited friends excellent food,1,1,1,0.794443478429865
Le Chalets,Macot-la-Plagne,"Rue des Balcons Belle Plagne, 73210 Macot-la-Plagne, Aime France",45.50989,6.706074,"Pizza, French, Bar, European",€€-€€€,4.0,137.0,tartiflette belle plagne perfect family restaurant ski holiday jason,Vegetarian Friendly,,3.5,tartiflette belle plagne perfect family restaurant ski holiday jason,2,1,1,1.2073664056457085
Le Botaniste,Port-en-Bessin-Huppain,"Escures-Commes Chateau La Cheneviere, 14520 Port-en-Bessin-Huppain France",49.332863,-0.754816,"French, European",€€€€,4.5,144.0,tasting menu foie gras cheese trolley impeccable service dining experience,Vegetarian Friendly,"Outdoor Seating, Seating, Parking Available, Validated Parking, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Table Service, Accepts Credit Cards",4.5,tasting menu foie gras cheese trolley impeccable service dining experience,4,1,1,1.5255363460405122
Boulangerie Patisserie Jeannot,Nice,"8 rue Saint Francois de Paule, 06300 Nice France",43.695724,7.272178,"French, Cafe, European",€,4.0,223.0,baguette flan great selection pastries light lunch spoke english,"Vegetarian Friendly, Vegan Options",,,baguette flan great selection pastries light lunch spoke english,1,1,1,0.8152461440907485
"Tsaretta Spice, Méribel",Meribel,"route de Morel Immeuble La Saulire, 73550 Meribel, Les Allues France",45.400955,6.570317,"Indian, Asian",€€-€€€,5.0,211.0,curry naan sea bass butter chicken prawns,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,curry naan sea bass butter chicken prawns,3,1,1,1.009780543071759
Fuxia,Marseille,"27 rue Saint Saens Place Thiars, 13001 Marseille France",43.29326,5.372845,"French, Italian, European",€€-€€€,3.5,1030.0,spaghetti bolognese prawns italian food vieux port nice restaurant,Vegetarian Friendly,,4.0,spaghetti bolognese prawns italian food vieux port nice restaurant,3,0,1,1.236130972730939
Le Grand Phenicien,Paris,"4 rue Caulaincourt, 75018 Paris France",48.884987,2.330025,"Lebanese, Mediterranean, Middle Eastern",€€-€€€,4.0,250.0,mixed grill falafel take away taste plate,"Vegetarian Friendly, Vegan Options, Halal",,4.0,mixed grill falafel take away taste plate,1,1,1,1.33670101217505
La Pomme de Pin,L'Alpe-d'Huez,"101 avenue des Jeux, 38750 L'Alpe-d'Huez France",45.09075,6.068022,"French, European",€€-€€€,4.0,562.0,tomorrow night hot stone last night vegetables waiter,Vegetarian Friendly,,4.0,tomorrow night hot stone last night vegetables waiter,1,1,1,0.8428136032004343
Plage de Passable,St-Jean-Cap-Ferrat,"Chemin de Passable, 06230 St-Jean-Cap-Ferrat France",43.693542,7.325223,"French, Mediterranean, European",€€-€€€,3.0,419.0,salad nice beach coastal walk our waiter wonderful meal,,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Table Service, Beach",3.0,salad nice beach coastal walk our waiter wonderful meal,3,0,0,-0.06997107010759196
Le Moulin de la galette,Paris,"83 rue Lepic, 75018 Paris France",48.887398,2.337307,French,€€-€€€,4.0,895.0,chocolate mousse onion soup steak galettes set menu,Vegetarian Friendly,"Seating, Valet Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Outdoor Seating, Street Parking, Wheelchair Accessible, Accepts Credit Cards, Table Service",4.5,chocolate mousse onion soup steak galettes set menu,5,1,0,-0.6367322116637938
Hibou Deli,Chamonix,"416 rue Joseph Vallot, 74400, Chamonix France",45.92696,6.87014,"Healthy, Street Food",€,5.0,204.0,wraps flatbread satay mixed salad curries,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,wraps flatbread satay mixed salad curries,0,1,1,1.3062028433284216
Maison Drouot,Maussane-les-Alpilles,"18 impasse Michel Durand, 13520 Maussane-les-Alpilles France",43.721157,4.802582,French,€€€€,5.0,64.0,fixed menu his wife claire cuisine chef,,"Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",,fixed menu his wife claire cuisine chef,4,1,1,1.4773125132155802
Cinnamon,Strasbourg,"15 rue de la Division Leclerc, 67000, Strasbourg France",48.579586,7.747997,"Indian, Healthy",€€-€€€,4.5,846.0,naan curry mixed starter shrimp best indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.5,naan curry mixed starter shrimp best indian,3,1,1,1.740235906838234
Au Petit Suisse,Paris,"16 rue de Vaugirard, 75006 Paris France",48.84906,2.338914,"French, Bar, European",€€-€€€,4.5,528.0,onion soup croque soupe duck charcuterie,Vegetarian Friendly,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.0,onion soup croque soupe duck charcuterie,5,1,0,-0.3503669160382107
L'Ancienne Douane,Strasbourg,"6 rue de la Douane Au Bord de L'Ill et du Pont Corbeau, 67000, Strasbourg France",48.57936,7.75002,"French, European",€€-€€€,3.5,1423.0,tarte flambee flammkuchen potatoes custom house terrace overlooking river,,,3.0,tarte flambee flammkuchen potatoes custom house terrace overlooking river,4,0,0,-0.3917963764179141
